"","Season.Start","TVR","NULL.TVR","TVR.delta","Max.95","Min.95","Season.num","NBA","ABA","BAA","WNBA","min_season","years_since_pro","Teams","NumGames","Num_SubLeagues"
"60",1981,0.200469967997269,0.238384335663198,-0.0379143676659289,-0.0258435032304379,-0.0532994923857868,33,1,0,0,0,35,3,23,82,4
"61",1982,0.190771659066805,0.228736871796692,-0.037965212729887,-0.0264805007221955,-0.0753012048192771,34,1,0,0,0,36,3,23,82,4
"62",1983,0.231847898302692,0.263963290505242,-0.0321153922025497,-0.00216919739696314,-0.0441860465116279,35,1,0,0,0,37,3,23,82,4
"63",1984,0.207804654428581,0.260130289859103,-0.0523256354305214,0,-0.0645579465906145,36,1,0,0,0,38,3,23,82,4
"64",1985,0.20415230981911,0.253054421618651,-0.0489021117995412,-0.0175438596491228,-0.0625,37,1,0,0,0,39,3,23,82,4
"65",1986,0.166634836137704,0.242338479186714,-0.0757036430490104,-0.0642570281124498,-0.0927536231884058,38,1,0,0,0,40,3,23,82,4
"66",1987,0.182403397861599,0.256297671240856,-0.0738942733792572,-0.0592387968078576,-0.128856624319419,39,1,0,0,0,41,3,23,82,4
"67",1988,0.182066508637473,0.25582629573029,-0.073759787092817,-0.0515021459227468,-0.0860215053763441,40,1,0,0,0,42,3,25,82,4
"68",1989,0.179821103144267,0.265574743086675,-0.0857536399424075,-0.0597014925373134,-0.0994186046511628,41,1,0,0,0,43,3,27,82,4
"69",1990,0.177601855514914,0.229619119957051,-0.0520172644421368,-0.0218340611353712,-0.0614947965941343,42,1,0,0,0,44,3,27,82,4
"70",1991,0.1783242760899,0.24843149138147,-0.0701072152915706,-0.0560785099138794,-0.0954151177199505,43,1,0,0,0,45,3,27,82,4
"71",1992,0.185342758062954,0.245905313130291,-0.0605625550673368,-0.00602409638554216,-0.072594880847308,44,1,0,0,0,46,3,27,82,4
"72",1993,0.178697438406943,0.242456725945989,-0.0637592875390458,-0.0384615384615385,-0.0778671180702497,45,1,0,0,0,47,3,27,82,4
"73",1994,0.183972167150272,0.255323896477834,-0.0713517293275615,-0.0238095238095238,-0.0810991957104557,46,1,0,0,0,48,3,27,82,4
"74",1995,0.174812915321746,0.243607256591883,-0.0687943412701366,-0.0555555555555556,-0.0829694323144105,47,1,0,0,0,49,3,29,82,4
"75",1996,0.145993658450327,0.258424340527346,-0.112430682077019,-0.0922155688622754,-0.161764705882353,48,1,0,0,0,50,3,29,82,4
"76",1997,0.14661019091583,0.258557367932359,-0.11194717701653,-0.0991902834008097,-0.132743362831858,49,1,0,0,0,51,3,29,82,4
"77",1997,0.14661019091583,0.258557367932359,-0.11194717701653,-0.0991902834008097,-0.132743362831858,49,1,0,0,0,51,3,8,28,2
"78",1997,0.129851978242836,0.249855399040491,-0.120003420797655,-0.0837004405286344,-0.129557608167234,1,0,0,0,1,51,51,29,82,4
"79",1997,0.129851978242836,0.249855399040491,-0.120003420797655,-0.0837004405286344,-0.129557608167234,1,0,0,0,1,51,51,8,28,2
"80",1998,0.202702028278471,0.24417504148727,-0.0414730132087993,-0.0309278350515464,-0.0597014925373135,2,0,0,0,1,52,51,10,30,2
"81",1999,0.19407886814017,0.238801154578713,-0.0447222864385432,-0.0320284697508897,-0.0576923076923077,51,1,0,0,0,53,3,29,82,4
"82",1999,0.19407886814017,0.238801154578713,-0.0447222864385432,-0.0320284697508897,-0.0576923076923077,51,1,0,0,0,53,3,12,32,2
"83",1999,0.129362137721667,0.233777754173958,-0.104415616452292,-0.0694444444444444,-0.116022099447514,3,0,0,0,1,53,51,29,82,4
"84",1999,0.129362137721667,0.233777754173958,-0.104415616452292,-0.0694444444444444,-0.116022099447514,3,0,0,0,1,53,51,12,32,2
"85",2000,0.182860776260753,0.250625138826744,-0.0677643625659909,-0.0340740740740741,-0.08,52,1,0,0,0,54,3,29,82,4
"86",2000,0.182860776260753,0.250625138826744,-0.0677643625659909,-0.0340740740740741,-0.08,52,1,0,0,0,54,3,16,32,2
"87",2000,0.199030046551237,0.238709454761155,-0.0396794082099174,0.0133333333333333,-0.053411306042885,4,0,0,0,1,54,51,29,82,4
"88",2000,0.199030046551237,0.238709454761155,-0.0396794082099174,0.0133333333333333,-0.053411306042885,4,0,0,0,1,54,51,16,32,2
"89",2001,0.219444846051028,0.261706578077871,-0.0422617320268425,-0.0194805194805195,-0.0759878419452888,5,0,0,0,1,55,51,29,82,4
"90",2001,0.219444846051028,0.261706578077871,-0.0422617320268425,-0.0194805194805195,-0.0759878419452888,5,0,0,0,1,55,51,16,32,2
"91",2001,0.198095072261775,0.261998540833291,-0.0639034685715158,-0.0513152220784821,-0.0925925925925926,53,1,0,0,0,55,3,29,82,4
"92",2001,0.198095072261775,0.261998540833291,-0.0639034685715158,-0.0513152220784821,-0.0925925925925926,53,1,0,0,0,55,3,16,32,2
"93",2002,0.228482596205033,0.254568410483494,-0.0260858142784609,0.0563380281690141,-0.0432891466445733,6,0,0,0,1,56,51,16,32,2
"94",2002,0.228482596205033,0.254568410483494,-0.0260858142784609,0.0563380281690141,-0.0432891466445733,6,0,0,0,1,56,51,29,82,4
"95",2002,0.207440842086482,0.244154660797558,-0.0367138187110758,0.00458715596330275,-0.054176072234763,54,1,0,0,0,56,3,16,32,2
"96",2002,0.207440842086482,0.244154660797558,-0.0367138187110758,0.00458715596330275,-0.054176072234763,54,1,0,0,0,56,3,29,82,4
"97",2003,0.241219582605536,0.255291449818914,-0.0140718672133787,0,-0.02710027100271,7,0,0,0,1,57,51,29,82,4
"98",2003,0.241219582605536,0.255291449818914,-0.0140718672133787,0,-0.02710027100271,7,0,0,0,1,57,51,14,34,2
"99",2003,0.205455761857546,0.237893978222856,-0.0324382163653099,-0.00763358778625953,-0.045338441890166,55,1,0,0,0,57,3,29,82,4
"100",2003,0.205455761857546,0.237893978222856,-0.0324382163653099,-0.00763358778625953,-0.045338441890166,55,1,0,0,0,57,3,14,34,2
"101",2004,0.195431465170218,0.243241258482137,-0.0478097933119189,-0.035230352303523,-0.0601626016260162,8,0,0,0,1,58,51,30,82,6
"102",2004,0.195431465170218,0.243241258482137,-0.0478097933119189,-0.035230352303523,-0.0601626016260162,8,0,0,0,1,58,51,13,34,2
"103",2004,0.185629141191449,0.257151920132172,-0.0715227789407228,-0.0606677524429967,-0.0978260869565217,56,1,0,0,0,58,3,30,82,6
"104",2004,0.185629141191449,0.257151920132172,-0.0715227789407228,-0.0606677524429967,-0.0978260869565217,56,1,0,0,0,58,3,13,34,2
"105",2005,0.169461311393705,0.256887384820911,-0.0874260734272054,-0.0739575137686861,-0.103789126853377,9,0,0,0,1,59,51,14,34,2
"106",2005,0.169461311393705,0.256887384820911,-0.0874260734272054,-0.0739575137686861,-0.103789126853377,9,0,0,0,1,59,51,30,82,6
"107",2005,0.199224948339663,0.242777773631717,-0.0435528252920541,-0.0293438077634011,-0.0707070707070707,57,1,0,0,0,59,3,14,34,2
"108",2005,0.199224948339663,0.242777773631717,-0.0435528252920541,-0.0293438077634011,-0.0707070707070707,57,1,0,0,0,59,3,30,82,6
"109",2006,0.238441301697154,0.260240323709013,-0.0217990220118587,0.00811359026369168,-0.0359741309620048,10,0,0,0,1,60,51,30,82,6
"110",2006,0.238441301697154,0.260240323709013,-0.0217990220118587,0.00811359026369168,-0.0359741309620048,10,0,0,0,1,60,51,14,34,2
"111",2006,0.21706612330756,0.245952640729405,-0.0288865174218451,0,-0.0402314687241664,58,1,0,0,0,60,3,30,82,6
"112",2006,0.21706612330756,0.245952640729405,-0.0288865174218451,0,-0.0402314687241664,58,1,0,0,0,60,3,14,34,2
"113",2007,0.181067497802312,0.240256186662915,-0.0591886888606025,-0.00613496932515337,-0.0747663551401869,59,1,0,0,0,61,3,30,82,6
"114",2007,0.181067497802312,0.240256186662915,-0.0591886888606025,-0.00613496932515337,-0.0747663551401869,59,1,0,0,0,61,3,13,34,2
"115",2007,0.185973222181781,0.240654398629311,-0.0546811764475298,-0.0386507378777231,-0.0733496332518337,11,0,0,0,1,61,51,30,82,6
"116",2007,0.185973222181781,0.240654398629311,-0.0546811764475298,-0.0386507378777231,-0.0733496332518337,11,0,0,0,1,61,51,13,34,2
"117",2008,0.2601577885721,0.236911312477327,0.0232464760947734,0.0511363636363636,-0.00653594771241831,12,0,0,0,1,62,51,30,82,6
"118",2008,0.2601577885721,0.236911312477327,0.0232464760947734,0.0511363636363636,-0.00653594771241831,12,0,0,0,1,62,51,14,34,2
"119",2008,0.16532361443095,0.230836554126138,-0.0655129396951883,-0.0163398692810458,-0.082085699535364,60,1,0,0,0,62,3,30,82,6
"120",2008,0.16532361443095,0.230836554126138,-0.0655129396951883,-0.0163398692810458,-0.082085699535364,60,1,0,0,0,62,3,14,34,2
"121",2009,0.18424640000506,0.24806648736622,-0.0638200873611603,-0.0127877237851662,-0.0761986301369863,13,0,0,0,1,63,51,14,34,2
"122",2009,0.18424640000506,0.24806648736622,-0.0638200873611603,-0.0127877237851662,-0.0761986301369863,13,0,0,0,1,63,51,30,82,6
"123",2009,0.192996011644576,0.247519064043513,-0.0545230523989367,-0.00743494423791821,-0.0725733293014817,61,1,0,0,0,63,3,14,34,2
"124",2009,0.192996011644576,0.247519064043513,-0.0545230523989367,-0.00743494423791821,-0.0725733293014817,61,1,0,0,0,63,3,30,82,6
"125",2010,0.180717109324237,0.260148703790433,-0.0794315944661961,-0.0459183673469388,-0.0926406926406926,14,0,0,0,1,64,51,12,34,2
